"プロット タイトル: 20054346_St56_20191209-"
"#","日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054346, SEN S/N: 20054346)","カプラー取り外し (LGR S/N: 20054346)","カプラー取り付け (LGR S/N: 20054346)","ホスト接続 (LGR S/N: 20054346)","停止済み (LGR S/N: 20054346)","ファイルの終わり (LGR S/N: 20054346)"
4468,03/11/20 12:30:00 午後,23.448,,,,,
4469,03/11/20 01:00:00 午後,23.472,,,,,
4470,03/11/20 01:30:00 午後,23.448,,,,,
4471,03/11/20 02:00:00 午後,23.641,,,,,
4472,03/11/20 02:30:00 午後,23.833,,,,,
4473,03/11/20 03:00:00 午後,24.002,,,,,
4474,03/11/20 03:30:00 午後,23.761,,,,,
4475,03/11/20 04:00:00 午後,23.376,,,,,
4476,03/11/20 04:30:00 午後,23.160,,,,,
4477,03/11/20 05:00:00 午後,23.136,,,,,
4478,03/11/20 05:30:00 午後,23.112,,,,,
4479,03/11/20 06:00:00 午後,23.112,,,,,
4480,03/11/20 06:30:00 午後,23.112,,,,,
4481,03/11/20 07:00:00 午後,23.112,,,,,
4482,03/11/20 07:30:00 午後,23.088,,,,,
4483,03/11/20 08:00:00 午後,23.088,,,,,
4484,03/11/20 08:30:00 午後,23.088,,,,,
4485,03/11/20 09:00:00 午後,23.064,,,,,
4486,03/11/20 09:30:00 午後,23.064,,,,,
4487,03/11/20 10:00:00 午後,23.064,,,,,
4488,03/11/20 10:30:00 午後,23.040,,,,,
4489,03/11/20 11:00:00 午後,22.992,,,,,
4490,03/11/20 11:30:00 午後,22.920,,,,,
4491,03/12/20 12:00:00 午前,22.872,,,,,
4492,03/12/20 12:30:00 午前,22.824,,,,,
4493,03/12/20 01:00:00 午前,22.753,,,,,
4494,03/12/20 01:30:00 午前,22.681,,,,,
4495,03/12/20 02:00:00 午前,22.513,,,,,
4496,03/12/20 02:30:00 午前,22.345,,,,,
4497,03/12/20 03:00:00 午前,22.202,,,,,
4498,03/12/20 03:30:00 午前,22.058,,,,,
4499,03/12/20 04:00:00 午前,21.963,,,,,
4500,03/12/20 04:30:00 午前,21.772,,,,,
4501,03/12/20 05:00:00 午前,21.270,,,,,
4502,03/12/20 05:30:00 午前,22.345,,,,,
4503,03/12/20 06:00:00 午前,22.896,,,,,
4504,03/12/20 06:30:00 午前,22.992,,,,,
4505,03/12/20 07:00:00 午前,23.040,,,,,
4506,03/12/20 07:30:00 午前,23.088,,,,,
4507,03/12/20 08:00:00 午前,23.112,,,,,
4508,03/12/20 08:30:00 午前,23.136,,,,,
4509,03/12/20 09:00:00 午前,23.160,,,,,
4510,03/12/20 09:30:00 午前,23.160,,,,,
4511,03/12/20 10:00:00 午前,23.136,,,,,
4512,03/12/20 10:30:00 午前,23.112,,,,,
4513,03/12/20 11:00:00 午前,23.064,,,,,
4514,03/12/20 11:30:00 午前,23.064,,,,,
4515,03/12/20 12:00:00 午後,23.016,,,,,
4516,03/12/20 12:30:00 午後,22.992,,,,,
4517,03/12/20 01:00:00 午後,22.992,,,,,
4518,03/12/20 01:30:00 午後,22.920,,,,,
4519,03/12/20 02:00:00 午後,22.824,,,,,
4520,03/12/20 02:30:00 午後,22.657,,,,,
4521,03/12/20 03:00:00 午後,22.585,,,,,
4522,03/12/20 03:30:00 午後,22.489,,,,,
4523,03/12/20 04:00:00 午後,22.417,,,,,
4524,03/12/20 04:30:00 午後,22.321,,,,,
4525,03/12/20 05:00:00 午後,22.274,,,,,
4526,03/12/20 05:30:00 午後,22.226,,,,,
4527,03/12/20 06:00:00 午後,22.824,,,,,
4528,03/12/20 06:30:00 午後,23.016,,,,,
4529,03/12/20 07:00:00 午後,23.064,,,,,
4530,03/12/20 07:30:00 午後,23.112,,,,,
4531,03/12/20 08:00:00 午後,23.160,,,,,
4532,03/12/20 08:30:00 午後,23.160,,,,,
4533,03/12/20 09:00:00 午後,23.160,,,,,
4534,03/12/20 09:30:00 午後,23.160,,,,,
4535,03/12/20 10:00:00 午後,23.136,,,,,
4536,03/12/20 10:30:00 午後,23.112,,,,,
4537,03/12/20 11:00:00 午後,23.064,,,,,
4538,03/12/20 11:30:00 午後,23.088,,,,,
4539,03/13/20 12:00:00 午前,23.064,,,,,
4540,03/13/20 12:30:00 午前,23.016,,,,,
4541,03/13/20 01:00:00 午前,22.944,,,,,
4542,03/13/20 01:30:00 午前,22.896,,,,,
4543,03/13/20 02:00:00 午前,22.848,,,,,
4544,03/13/20 02:30:00 午前,22.800,,,,,
4545,03/13/20 03:00:00 午前,22.753,,,,,
4546,03/13/20 03:30:00 午前,22.681,,,,,
4547,03/13/20 04:00:00 午前,22.561,,,,,
4548,03/13/20 04:30:00 午前,22.441,,,,,
4549,03/13/20 05:00:00 午前,22.369,,,,,
4550,03/13/20 05:30:00 午前,22.345,,,,,
4551,03/13/20 06:00:00 午前,22.465,,,,,
4552,03/13/20 06:30:00 午前,22.513,,,,,
4553,03/13/20 07:00:00 午前,22.753,,,,,
4554,03/13/20 07:30:00 午前,22.872,,,,,
4555,03/13/20 08:00:00 午前,22.896,,,,,
4556,03/13/20 08:30:00 午前,23.040,,,,,
4557,03/13/20 09:00:00 午前,23.208,,,,,
4558,03/13/20 09:30:00 午前,23.328,,,,,
4559,03/13/20 10:00:00 午前,23.448,,,,,
4560,03/13/20 10:30:00 午前,23.545,,,,,
4561,03/13/20 11:00:00 午前,23.665,,,,,
4562,03/13/20 11:30:00 午前,23.665,,,,,
4563,03/13/20 12:00:00 午後,23.593,,,,,
4564,03/13/20 12:30:00 午後,23.569,,,,,
4565,03/13/20 01:00:00 午後,23.569,,,,,
4566,03/13/20 01:30:00 午後,23.737,,,,,
4567,03/13/20 02:00:00 午後,23.881,,,,,
4568,03/13/20 02:30:00 午後,24.002,,,,,
4569,03/13/20 03:00:00 午後,24.026,,,,,
4570,03/13/20 03:30:00 午後,24.098,,,,,
4571,03/13/20 04:00:00 午後,24.146,,,,,
4572,03/13/20 04:30:00 午後,24.219,,,,,
4573,03/13/20 05:00:00 午後,24.219,,,,,
4574,03/13/20 05:30:00 午後,24.267,,,,,
4575,03/13/20 06:00:00 午後,24.315,,,,,
4576,03/13/20 06:30:00 午後,24.026,,,,,
4577,03/13/20 07:00:00 午後,23.424,,,,,
4578,03/13/20 07:30:00 午後,23.304,,,,,
4579,03/13/20 08:00:00 午後,23.280,,,,,
4580,03/13/20 08:30:00 午後,23.304,,,,,
4581,03/13/20 09:00:00 午後,23.352,,,,,
4582,03/13/20 09:30:00 午後,23.376,,,,,
4583,03/13/20 10:00:00 午後,23.376,,,,,
4584,03/13/20 10:30:00 午後,23.400,,,,,
4585,03/13/20 11:00:00 午後,23.400,,,,,
4586,03/13/20 11:30:00 午後,23.400,,,,,
4587,03/14/20 12:00:00 午前,23.376,,,,,
4588,03/14/20 12:30:00 午前,23.376,,,,,
4589,03/14/20 01:00:00 午前,23.376,,,,,
4590,03/14/20 01:30:00 午前,23.352,,,,,
4591,03/14/20 02:00:00 午前,23.352,,,,,
4592,03/14/20 02:30:00 午前,23.304,,,,,
4593,03/14/20 03:00:00 午前,23.256,,,,,
4594,03/14/20 03:30:00 午前,23.208,,,,,
4595,03/14/20 04:00:00 午前,23.088,,,,,
4596,03/14/20 04:30:00 午前,22.968,,,,,
4597,03/14/20 05:00:00 午前,22.800,,,,,
4598,03/14/20 05:30:00 午前,22.417,,,,,
4599,03/14/20 06:00:00 午前,22.441,,,,,
4600,03/14/20 06:30:00 午前,22.824,,,,,
4601,03/14/20 07:00:00 午前,23.016,,,,,
4602,03/14/20 07:30:00 午前,23.064,,,,,
4603,03/14/20 08:00:00 午前,23.112,,,,,
4604,03/14/20 08:30:00 午前,23.160,,,,,
4605,03/14/20 09:00:00 午前,23.208,,,,,
4606,03/14/20 09:30:00 午前,23.232,,,,,
4607,03/14/20 10:00:00 午前,23.232,,,,,
4608,03/14/20 10:30:00 午前,23.208,,,,,
4609,03/14/20 11:00:00 午前,23.232,,,,,
4610,03/14/20 11:30:00 午前,23.184,,,,,
4611,03/14/20 12:00:00 午後,23.160,,,,,
4612,03/14/20 12:30:00 午後,23.112,,,,,
4613,03/14/20 01:00:00 午後,23.064,,,,,
4614,03/14/20 01:30:00 午後,23.040,,,,,
4615,03/14/20 02:00:00 午後,22.944,,,,,
4616,03/14/20 02:30:00 午後,22.872,,,,,
4617,03/14/20 03:00:00 午後,22.729,,,,,
4618,03/14/20 03:30:00 午後,22.537,,,,,
4619,03/14/20 04:00:00 午後,22.298,,,,,
4620,03/14/20 04:30:00 午後,22.082,,,,,
4621,03/14/20 05:00:00 午後,21.748,,,,,
4622,03/14/20 05:30:00 午後,21.867,,,,,
4623,03/14/20 06:00:00 午後,21.987,,,,,
4624,03/14/20 06:30:00 午後,22.226,,,,,
4625,03/14/20 07:00:00 午後,22.537,,,,,
4626,03/14/20 07:30:00 午後,22.705,,,,,
4627,03/14/20 08:00:00 午後,22.776,,,,,
4628,03/14/20 08:30:00 午後,22.872,,,,,
4629,03/14/20 09:00:00 午後,22.872,,,,,
4630,03/14/20 09:30:00 午後,22.944,,,,,
4631,03/14/20 10:00:00 午後,22.920,,,,,
4632,03/14/20 10:30:00 午後,22.968,,,,,
4633,03/14/20 11:00:00 午後,22.944,,,,,
4634,03/14/20 11:30:00 午後,22.944,,,,,
4635,03/15/20 12:00:00 午前,22.896,,,,,
4636,03/15/20 12:30:00 午前,22.872,,,,,
4637,03/15/20 01:00:00 午前,22.896,,,,,
4638,03/15/20 01:30:00 午前,22.800,,,,,
4639,03/15/20 02:00:00 午前,22.776,,,,,
4640,03/15/20 02:30:00 午前,22.681,,,,,
4641,03/15/20 03:00:00 午前,22.705,,,,,
4642,03/15/20 03:30:00 午前,22.681,,,,,
4643,03/15/20 04:00:00 午前,22.633,,,,,
4644,03/15/20 04:30:00 午前,22.537,,,,,
4645,03/15/20 05:00:00 午前,22.537,,,,,
4646,03/15/20 05:30:00 午前,22.513,,,,,
4647,03/15/20 06:00:00 午前,22.585,,,,,
4648,03/15/20 06:30:00 午前,22.585,,,,,
4649,03/15/20 07:00:00 午前,22.633,,,,,
4650,03/15/20 07:30:00 午前,22.681,,,,,
4651,03/15/20 08:00:00 午前,22.729,,,,,
4652,03/15/20 08:30:00 午前,22.729,,,,,
4653,03/15/20 09:00:00 午前,22.800,,,,,
4654,03/15/20 09:30:00 午前,22.848,,,,,
4655,03/15/20 10:00:00 午前,22.944,,,,,
4656,03/15/20 10:30:00 午前,23.064,,,,,
4657,03/15/20 11:00:00 午前,23.160,,,,,
4658,03/15/20 11:30:00 午前,23.160,,,,,
4659,03/15/20 12:00:00 午後,23.160,,,,,
4660,03/15/20 12:30:00 午後,23.232,,,,,
4661,03/15/20 01:00:00 午後,23.256,,,,,
4662,03/15/20 01:30:00 午後,23.256,,,,,
4663,03/15/20 02:00:00 午後,23.304,,,,,
4664,03/15/20 02:30:00 午後,23.352,,,,,
4665,03/15/20 03:00:00 午後,23.280,,,,,
4666,03/15/20 03:30:00 午後,23.208,,,,,
4667,03/15/20 04:00:00 午後,23.136,,,,,
4668,03/15/20 04:30:00 午後,23.112,,,,,
4669,03/15/20 05:00:00 午後,23.016,,,,,
4670,03/15/20 05:30:00 午後,22.776,,,,,
4671,03/15/20 06:00:00 午後,22.561,,,,,
4672,03/15/20 06:30:00 午後,22.250,,,,,
4673,03/15/20 07:00:00 午後,22.034,,,,,
4674,03/15/20 07:30:00 午後,21.963,,,,,
4675,03/15/20 08:00:00 午後,21.963,,,,,
4676,03/15/20 08:30:00 午後,22.274,,,,,
4677,03/15/20 09:00:00 午後,22.417,,,,,
4678,03/15/20 09:30:00 午後,22.585,,,,,
4679,03/15/20 10:00:00 午後,22.681,,,,,
4680,03/15/20 10:30:00 午後,22.705,,,,,
4681,03/15/20 11:00:00 午後,22.681,,,,,
4682,03/15/20 11:30:00 午後,22.705,,,,,
4683,03/16/20 12:00:00 午前,22.681,,,,,
4684,03/16/20 12:30:00 午前,22.681,,,,,
4685,03/16/20 01:00:00 午前,22.705,,,,,
4686,03/16/20 01:30:00 午前,22.657,,,,,
4687,03/16/20 02:00:00 午前,22.681,,,,,
4688,03/16/20 02:30:00 午前,22.609,,,,,
4689,03/16/20 03:00:00 午前,22.561,,,,,
4690,03/16/20 03:30:00 午前,22.513,,,,,
4691,03/16/20 04:00:00 午前,22.465,,,,,
4692,03/16/20 04:30:00 午前,22.345,,,,,
4693,03/16/20 05:00:00 午前,22.250,,,,,
4694,03/16/20 05:30:00 午前,22.226,,,,,
4695,03/16/20 06:00:00 午前,22.250,,,,,
4696,03/16/20 06:30:00 午前,22.250,,,,,
4697,03/16/20 07:00:00 午前,22.154,,,,,
4698,03/16/20 07:30:00 午前,22.202,,,,,
4699,03/16/20 08:00:00 午前,22.298,,,,,
4700,03/16/20 08:30:00 午前,22.417,,,,,
4701,03/16/20 09:00:00 午前,22.537,,,,,
4702,03/16/20 09:30:00 午前,22.537,,,,,
4703,03/16/20 10:00:00 午前,22.681,,,,,
4704,03/16/20 10:30:00 午前,22.848,,,,,
4705,03/16/20 11:00:00 午前,23.016,,,,,
4706,03/16/20 11:30:00 午前,23.136,,,,,
4707,03/16/20 12:00:00 午後,23.232,,,,,
4708,03/16/20 12:30:00 午後,23.352,,,,,
4709,03/16/20 01:00:00 午後,23.448,,,,,
4710,03/16/20 01:30:00 午後,23.569,,,,,
4711,03/16/20 02:00:00 午後,23.713,,,,,
4712,03/16/20 02:30:00 午後,23.833,,,,,
4713,03/16/20 03:00:00 午後,23.905,,,,,
4714,03/16/20 03:30:00 午後,23.809,,,,,
4715,03/16/20 04:00:00 午後,23.809,,,,,
4716,03/16/20 04:30:00 午後,23.665,,,,,
4717,03/16/20 05:00:00 午後,23.521,,,,,
4718,03/16/20 05:30:00 午後,23.280,,,,,
4719,03/16/20 06:00:00 午後,22.992,,,,,
4720,03/16/20 06:30:00 午後,22.681,,,,,
4721,03/16/20 07:00:00 午後,22.369,,,,,
4722,03/16/20 07:30:00 午後,22.202,,,,,
4723,03/16/20 08:00:00 午後,22.011,,,,,
4724,03/16/20 08:30:00 午後,21.772,,,,,
4725,03/16/20 09:00:00 午後,21.533,,,,,
4726,03/16/20 09:30:00 午後,20.770,,,,,
4727,03/16/20 10:00:00 午後,20.198,,,,,
4728,03/16/20 10:30:00 午後,20.246,,,,,
4729,03/16/20 11:00:00 午後,21.557,,,,,
4730,03/16/20 11:30:00 午後,22.154,,,,,
4731,03/17/20 12:00:00 午前,22.369,,,,,
4732,03/17/20 12:30:00 午前,22.441,,,,,
4733,03/17/20 01:00:00 午前,22.489,,,,,
4734,03/17/20 01:30:00 午前,22.513,,,,,
4735,03/17/20 02:00:00 午前,22.489,,,,,
4736,03/17/20 02:30:00 午前,22.465,,,,,
4737,03/17/20 03:00:00 午前,22.489,,,,,
4738,03/17/20 03:30:00 午前,22.489,,,,,
4739,03/17/20 04:00:00 午前,22.441,,,,,
4740,03/17/20 04:30:00 午前,22.393,,,,,
4741,03/17/20 05:00:00 午前,22.441,,,,,
4742,03/17/20 05:30:00 午前,22.417,,,,,
4743,03/17/20 06:00:00 午前,22.489,,,,,
4744,03/17/20 06:30:00 午前,22.465,,,,,
4745,03/17/20 07:00:00 午前,22.465,,,,,
4746,03/17/20 07:30:00 午前,22.417,,,,,
4747,03/17/20 08:00:00 午前,22.465,,,,,
4748,03/17/20 08:30:00 午前,22.609,,,,,
4749,03/17/20 09:00:00 午前,22.776,,,,,
4750,03/17/20 09:30:00 午前,22.896,,,,,
4751,03/17/20 10:00:00 午前,23.064,,,,,
4752,03/17/20 10:30:00 午前,23.256,,,,,
4753,03/17/20 11:00:00 午前,23.280,,,,,
4754,03/17/20 11:30:00 午前,23.352,,,,,
4755,03/17/20 12:00:00 午後,23.497,,,,,
4756,03/17/20 12:30:00 午後,23.497,,,,,
4757,03/17/20 01:00:00 午後,23.545,,,,,
4758,03/17/20 01:30:00 午後,23.497,,,,,
4759,03/17/20 02:00:00 午後,23.448,,,,,
4760,03/17/20 02:30:00 午後,23.545,,,,,
4761,03/17/20 03:00:00 午後,23.497,,,,,
4762,03/17/20 03:30:00 午後,23.569,,,,,
4763,03/17/20 04:00:00 午後,23.569,,,,,
4764,03/17/20 04:30:00 午後,23.545,,,,,
4765,03/17/20 05:00:00 午後,23.448,,,,,
4766,03/17/20 05:30:00 午後,23.352,,,,,
4767,03/17/20 06:00:00 午後,23.184,,,,,
4768,03/17/20 06:30:00 午後,23.040,,,,,
4769,03/17/20 07:00:00 午後,22.944,,,,,
4770,03/17/20 07:30:00 午後,22.848,,,,,
4771,03/17/20 08:00:00 午後,22.800,,,,,
4772,03/17/20 08:30:00 午後,22.729,,,,,
4773,03/17/20 09:00:00 午後,22.657,,,,,
4774,03/17/20 09:30:00 午後,22.585,,,,,
4775,03/17/20 10:00:00 午後,22.489,,,,,
4776,03/17/20 10:30:00 午後,22.345,,,,,
4777,03/17/20 11:00:00 午後,22.298,,,,,
4778,03/17/20 11:30:00 午後,22.441,,,,,
4779,03/18/20 12:00:00 午前,22.561,,,,,
4780,03/18/20 12:30:00 午前,22.633,,,,,
4781,03/18/20 01:00:00 午前,22.776,,,,,
4782,03/18/20 01:30:00 午前,22.800,,,,,
4783,03/18/20 02:00:00 午前,22.824,,,,,
4784,03/18/20 02:30:00 午前,22.848,,,,,
4785,03/18/20 03:00:00 午前,22.848,,,,,
4786,03/18/20 03:30:00 午前,22.824,,,,,
4787,03/18/20 04:00:00 午前,22.776,,,,,
4788,03/18/20 04:30:00 午前,22.776,,,,,
4789,03/18/20 05:00:00 午前,22.753,,,,,
4790,03/18/20 05:30:00 午前,22.776,,,,,
4791,03/18/20 06:00:00 午前,22.776,,,,,
4792,03/18/20 06:30:00 午前,22.753,,,,,
4793,03/18/20 07:00:00 午前,22.753,,,,,
4794,03/18/20 07:30:00 午前,22.729,,,,,
4795,03/18/20 08:00:00 午前,22.705,,,,,
4796,03/18/20 08:30:00 午前,22.729,,,,,
4797,03/18/20 09:00:00 午前,22.824,,,,,
4798,03/18/20 09:30:00 午前,22.944,,,,,
4799,03/18/20 10:00:00 午前,23.064,,,,,
4800,03/18/20 10:30:00 午前,23.232,,,,,
4801,03/18/20 11:00:00 午前,23.376,,,,,
4802,03/18/20 11:30:00 午前,23.545,,,,,
4803,03/18/20 12:00:00 午後,23.785,,,,,
4804,03/18/20 12:30:00 午後,24.074,,,,,
4805,03/18/20 01:00:00 午後,24.315,,,,,
4806,03/18/20 01:30:00 午後,24.339,,,,,
4807,03/18/20 02:00:00 午後,24.291,,,,,
4808,03/18/20 02:30:00 午後,24.171,,,,,
4809,03/18/20 03:00:00 午後,24.050,,,,,
4810,03/18/20 03:30:00 午後,23.978,,,,,
4811,03/18/20 04:00:00 午後,23.857,,,,,
4812,03/18/20 04:30:00 午後,23.761,,,,,
4813,03/18/20 05:00:00 午後,23.665,,,,,
4814,03/18/20 05:30:00 午後,23.761,,,,,
4815,03/18/20 06:00:00 午後,23.761,,,,,
4816,03/18/20 06:30:00 午後,23.545,,,,,
4817,03/18/20 07:00:00 午後,23.424,,,,,
4818,03/18/20 07:30:00 午後,23.448,,,,,
4819,03/18/20 08:00:00 午後,23.448,,,,,
4820,03/18/20 08:30:00 午後,23.400,,,,,
4821,03/18/20 09:00:00 午後,23.352,,,,,
4822,03/18/20 09:30:00 午後,23.280,,,,,
4823,03/18/20 10:00:00 午後,23.208,,,,,
4824,03/18/20 10:30:00 午後,23.160,,,,,
4825,03/18/20 11:00:00 午後,23.136,,,,,
4826,03/18/20 11:30:00 午後,23.160,,,,,
4827,03/19/20 12:00:00 午前,23.136,,,,,
4828,03/19/20 12:30:00 午前,23.088,,,,,
4829,03/19/20 01:00:00 午前,22.944,,,,,
4830,03/19/20 01:30:00 午前,22.705,,,,,
4831,03/19/20 02:00:00 午前,22.561,,,,,
4832,03/19/20 02:30:00 午前,22.705,,,,,
4833,03/19/20 03:00:00 午前,22.753,,,,,
4834,03/19/20 03:30:00 午前,22.848,,,,,
4835,03/19/20 04:00:00 午前,22.968,,,,,
4836,03/19/20 04:30:00 午前,22.992,,,,,
4837,03/19/20 05:00:00 午前,22.992,,,,,
4838,03/19/20 05:30:00 午前,22.992,,,,,
4839,03/19/20 06:00:00 午前,22.992,,,,,
4840,03/19/20 06:30:00 午前,22.992,,,,,
4841,03/19/20 07:00:00 午前,22.992,,,,,
4842,03/19/20 07:30:00 午前,22.992,,,,,
4843,03/19/20 08:00:00 午前,22.992,,,,,
4844,03/19/20 08:30:00 午前,22.992,,,,,
4845,03/19/20 09:00:00 午前,23.016,,,,,
4846,03/19/20 09:30:00 午前,23.016,,,,,
4847,03/19/20 10:00:00 午前,23.040,,,,,
4848,03/19/20 10:30:00 午前,23.112,,,,,
4849,03/19/20 11:00:00 午前,23.088,,,,,
4850,03/19/20 11:30:00 午前,23.040,,,,,
4851,03/19/20 12:00:00 午後,23.016,,,,,
4852,03/19/20 12:30:00 午後,23.064,,,,,
4853,03/19/20 01:00:00 午後,23.064,,,,,
4854,03/19/20 01:30:00 午後,23.040,,,,,
4855,03/19/20 02:00:00 午後,22.992,,,,,
4856,03/19/20 02:30:00 午後,22.992,,,,,
4857,03/19/20 03:00:00 午後,23.016,,,,,
4858,03/19/20 03:30:00 午後,23.016,,,,,
4859,03/19/20 04:00:00 午後,23.016,,,,,
4860,03/19/20 04:30:00 午後,22.992,,,,,
4861,03/19/20 05:00:00 午後,23.016,,,,,
4862,03/19/20 05:30:00 午後,23.040,,,,,
4863,03/19/20 06:00:00 午後,23.016,,,,,
4864,03/19/20 06:30:00 午後,23.016,,,,,
4865,03/19/20 07:00:00 午後,22.968,,,,,
4866,03/19/20 07:30:00 午後,22.968,,,,,
4867,03/19/20 08:00:00 午後,22.944,,,,,
4868,03/19/20 08:30:00 午後,22.872,,,,,
4869,03/19/20 09:00:00 午後,22.824,,,,,
4870,03/19/20 09:30:00 午後,22.776,,,,,
4871,03/19/20 10:00:00 午後,22.753,,,,,
4872,03/19/20 10:30:00 午後,22.705,,,,,
4873,03/19/20 11:00:00 午後,22.609,,,,,
4874,03/19/20 11:30:00 午後,22.489,,,,,
4875,03/20/20 12:00:00 午前,22.417,,,,,
4876,03/20/20 12:30:00 午前,22.321,,,,,
4877,03/20/20 01:00:00 午前,22.274,,,,,
4878,03/20/20 01:30:00 午前,22.034,,,,,
4879,03/20/20 02:00:00 午前,21.748,,,,,
4880,03/20/20 02:30:00 午前,21.700,,,,,
4881,03/20/20 03:00:00 午前,22.345,,,,,
4882,03/20/20 03:30:00 午前,22.489,,,,,
4883,03/20/20 04:00:00 午前,22.561,,,,,
4884,03/20/20 04:30:00 午前,22.609,,,,,
4885,03/20/20 05:00:00 午前,22.633,,,,,
4886,03/20/20 05:30:00 午前,22.657,,,,,
4887,03/20/20 06:00:00 午前,22.657,,,,,
4888,03/20/20 06:30:00 午前,22.681,,,,,
4889,03/20/20 07:00:00 午前,22.729,,,,,
4890,03/20/20 07:30:00 午前,22.729,,,,,
4891,03/20/20 08:00:00 午前,22.729,,,,,
4892,03/20/20 08:30:00 午前,22.705,,,,,
4893,03/20/20 09:00:00 午前,22.705,,,,,
4894,03/20/20 09:30:00 午前,22.705,,,,,
4895,03/20/20 10:00:00 午前,22.729,,,,,
4896,03/20/20 10:30:00 午前,22.776,,,,,
4897,03/20/20 11:00:00 午前,22.824,,,,,
4898,03/20/20 11:30:00 午前,22.944,,,,,
4899,03/20/20 12:00:00 午後,22.992,,,,,
4900,03/20/20 12:30:00 午後,23.112,,,,,
4901,03/20/20 01:00:00 午後,23.280,,,,,
4902,03/20/20 01:30:00 午後,23.304,,,,,
4903,03/20/20 02:00:00 午後,23.424,,,,,
4904,03/20/20 02:30:00 午後,23.280,,,,,
4905,03/20/20 03:00:00 午後,23.136,,,,,
4906,03/20/20 03:30:00 午後,23.064,,,,,
4907,03/20/20 04:00:00 午後,22.992,,,,,
4908,03/20/20 04:30:00 午後,22.968,,,,,
4909,03/20/20 05:00:00 午後,22.920,,,,,
4910,03/20/20 05:30:00 午後,22.872,,,,,
4911,03/20/20 06:00:00 午後,22.800,,,,,
4912,03/20/20 06:30:00 午後,22.729,,,,,
4913,03/20/20 07:00:00 午後,22.729,,,,,
4914,03/20/20 07:30:00 午後,22.681,,,,,
4915,03/20/20 08:00:00 午後,22.729,,,,,
4916,03/20/20 08:30:00 午後,22.705,,,,,
4917,03/20/20 09:00:00 午後,22.681,,,,,
4918,03/20/20 09:30:00 午後,22.705,,,,,
4919,03/20/20 10:00:00 午後,22.681,,,,,
4920,03/20/20 10:30:00 午後,22.633,,,,,
4921,03/20/20 11:00:00 午後,22.585,,,,,
4922,03/20/20 11:30:00 午後,22.537,,,,,
4923,03/21/20 12:00:00 午前,22.489,,,,,
4924,03/21/20 12:30:00 午前,22.441,,,,,
4925,03/21/20 01:00:00 午前,22.393,,,,,
4926,03/21/20 01:30:00 午前,22.393,,,,,
4927,03/21/20 02:00:00 午前,22.321,,,,,
4928,03/21/20 02:30:00 午前,22.106,,,,,
4929,03/21/20 03:00:00 午前,22.226,,,,,
4930,03/21/20 03:30:00 午前,22.585,,,,,
4931,03/21/20 04:00:00 午前,22.729,,,,,
4932,03/21/20 04:30:00 午前,22.800,,,,,
4933,03/21/20 05:00:00 午前,22.824,,,,,
4934,03/21/20 05:30:00 午前,22.872,,,,,
4935,03/21/20 06:00:00 午前,22.920,,,,,
4936,03/21/20 06:30:00 午前,22.920,,,,,
4937,03/21/20 07:00:00 午前,22.920,,,,,
4938,03/21/20 07:30:00 午前,22.920,,,,,
4939,03/21/20 08:00:00 午前,22.968,,,,,
4940,03/21/20 08:30:00 午前,22.968,,,,,
4941,03/21/20 09:00:00 午前,23.016,,,,,
4942,03/21/20 09:30:00 午前,23.088,,,,,
4943,03/21/20 10:00:00 午前,23.208,,,,,
4944,03/21/20 10:30:00 午前,23.304,,,,,
4945,03/21/20 11:00:00 午前,23.448,,,,,
4946,03/21/20 11:30:00 午前,23.497,,,,,
4947,03/21/20 12:00:00 午後,23.689,,,,,
4948,03/21/20 12:30:00 午後,24.026,,,,,
4949,03/21/20 01:00:00 午後,23.954,,,,,
4950,03/21/20 01:30:00 午後,23.978,,,,,
4951,03/21/20 02:00:00 午後,24.050,,,,,
4952,03/21/20 02:30:00 午後,24.074,,,,,
4953,03/21/20 03:00:00 午後,24.002,,,,,
4954,03/21/20 03:30:00 午後,23.905,,,,,
4955,03/21/20 04:00:00 午後,23.761,,,,,
4956,03/21/20 04:30:00 午後,23.737,,,,,
4957,03/21/20 05:00:00 午後,23.713,,,,,
4958,03/21/20 05:30:00 午後,23.665,,,,,
4959,03/21/20 06:00:00 午後,23.641,,,,,
4960,03/21/20 06:30:00 午後,23.593,,,,,
4961,03/21/20 07:00:00 午後,23.569,,,,,
4962,03/21/20 07:30:00 午後,23.593,,,,,
4963,03/21/20 08:00:00 午後,23.545,,,,,
4964,03/21/20 08:30:00 午後,23.545,,,,,
4965,03/21/20 09:00:00 午後,23.665,,,,,
4966,03/21/20 09:30:00 午後,24.002,,,,,
4967,03/21/20 10:00:00 午後,24.171,,,,,
4968,03/21/20 10:30:00 午後,24.219,,,,,
4969,03/21/20 11:00:00 午後,24.195,,,,,
4970,03/21/20 11:30:00 午後,24.122,,,,,
4971,03/22/20 12:00:00 午前,24.026,,,,,
4972,03/22/20 12:30:00 午前,24.002,,,,,
4973,03/22/20 01:00:00 午前,23.954,,,,,
4974,03/22/20 01:30:00 午前,23.905,,,,,
4975,03/22/20 02:00:00 午前,23.954,,,,,
4976,03/22/20 02:30:00 午前,23.905,,,,,
4977,03/22/20 03:00:00 午前,23.857,,,,,
4978,03/22/20 03:30:00 午前,23.545,,,,,
